Card Number,Community Chest Cards,Move to,,,,,
1,Advance to Go (Collect $200),0,,,adv,Go,
2,Bank error in your favor – collect $75,,,,recv,75,
3,Doctor's fees – Pay $50,,,,pay,50,
4,"Get out of jail free – this card may be kept until needed, or sold",,,,jailFree,,
5,"Go to jail – go directly to jail – Do not pass Go, do not collect $200",10,,,adv,Jail,
6,It is your birthday Collect $10 from each player,,,,recv_player,10,
7,Grand Opera Night – collect $50 from every player for opening night seats,,,,recv_player,50,
8,Income Tax refund – collect $20,,,,recv,20,
9,Life Insurance Matures – collect $100,,,,recv,100,
10,Pay Hospital Fees of $100,,,,pay,100,
11,Pay School Fees of $50,,,,pay,50,
12,Receive $25 Consultancy Fee,,,,recv,25,
13,"You are assessed for street repairs – $40 per house, $115 per hotel",,,,repair,40,115
14,You have won second prize in a beauty contest– collect $10,,,,recv,10,
15,You inherit $100,,,,recv,100,
16,From sale of stock you get $50,,,,recv,50,
17,Holiday Fund matures - Receive $100,,,,recv,100,
