Card Number,Chance Cards,7,22,36,,,
1,Advance to Go (Collect $200),0,0,0,adv,Go,
2,"Advance to Illinois Ave - if you pass Go, collect $200",24,24,24,adv,Illinois Ave,
3,You owe the bank.Roll the dice ten times and add your result to pay the bank.,7,22,36,sum,10,
4,"Advance token to the nearest Railroad and pay owner twice the rental to which he/she is otherwise entitled. If Railroad is unowned, you may buy it from the Bank. ",15,25,5,near,rail,
5,"Advance token to the nearest Railroad and pay owner twice the rental to which he/she is otherwise entitled. If Railroad is unowned, you may buy it from the Bank. ",15,25,5,near,rail,
6,"Advance to St. Charles Place – if you pass Go, collect $200",11,11,11,adv,St. Charles Place,
7,Bank pays you dividend of $50,7,22,36,recv,50,
8,"Get out of Jail free – this card may be kept until needed, or traded/sold",7,22,36,jailFree,,
9,Go back 3 spaces,4,19,33,back,3,
10,"Go directly to Jail – do not pass Go, do not collect $200",10,10,10,adv,Jail,
11,Make general repairs on all your property – for each house pay $25 – for each hotel $100,7,22,36,repair,25,100
12,Pay poor tax of $15,7,22,36,pay,15,
13,Take a trip to Reading Railroad – if you pass Go collect $200,5,5,5,adv,Reading Railroad,
14,Take a walk on the Boardwalk – advance token to Boardwalk,39,39,39,adv,Boardwalk,
15,You have been elected chairman of the board – pay each player $50,7,22,36,pay_players,50,
16,Your building loan matures – collect $150,7,22,36,recv,150,
17,You have won a crossword competition - collect $100,7,22,36,recv,100,
